from,to
Devil Dinosaur,Moon-Boy
Devil Dinosaur,Sauron (comics)
Thin Man (comics),Miss America (Madeline Joyce)
Thin Man (comics),Mister Fantastic
Thin Man (comics),Thing (comics)
Thin Man (comics),Elongated Man
Thin Man (comics),U-Man
Thin Man (comics),Iron Cross (Marvel Comics)
Thin Man (comics),Red Skull
Enchanters Three,Absorbing Man
Enchanters Three,Thor (Marvel Comics)
Captain Midlands,Pete Wisdom
Captain Midlands,Captain Britain
Pixie (X-Men),Doctor Strange
Pixie (X-Men),Trance (comics)
Pixie (X-Men),N'astirh
Pixie (X-Men),Lady Mastermind
Pixie (X-Men),Predator X (Marvel Comics)
Pixie (X-Men),Thing (comics)
Pixie (X-Men),Colossus (comics)
Pixie (X-Men),Loa (comics)
Pixie (X-Men),Caliban (comics)
Pixie (X-Men),Lady Deathstrike
Pixie (X-Men),Wolfsbane (comics)
Pixie (X-Men),Madelyne Pryor
Pixie (X-Men),Rockslide (comics)
Pixie (X-Men),Dazzler (Marvel Comics)
Pixie (X-Men),Cyclops (Marvel Comics)
Pixie (X-Men),Nightcrawler (comics)
Pixie (X-Men),Rogue (comics)
Pixie (X-Men),N'Garai
Pixie (X-Men),Karma (comics)
Pixie (X-Men),Karima Shapandar
Pixie (X-Men),Puppet Master (Marvel Comics)
Pixie (X-Men),Sentinel (comics)
Pixie (X-Men),Squirrel Girl
Pixie (X-Men),Amanda Sefton
Pixie (X-Men),Anole (comics)
Pixie (X-Men),Beast (comics)
Pixie (X-Men),Magik (comics)
Pixie (X-Men),Mastermind (Jason Wyngarde)
Pixie (X-Men),Empath (comics)
Pixie (X-Men),Jubilee (comics)
Pixie (X-Men),Armor (comics)
Pixie (X-Men),William Stryker
Pixie (X-Men),Rictor
Pixie (X-Men),Kitty Pryde
Pixie (X-Men),Match (Marvel Comics)
Pixie (X-Men),Gambit (Marvel Comics)
Pixie (X-Men),Blindfold (comics)
Mendel Stromm,Electro (Marvel Comics)
Mendel Stromm,Alistair Smythe
Mendel Stromm,Ben Reilly
Mendel Stromm,Spider-Man
Mendel Stromm,Master Mold
Mendel Stromm,Robbie Baldwin
Mendel Stromm,Harry Osborn#Kindred
Mendel Stromm,Nitro (comics)
Mendel Stromm,Doctor Octopus
Shape (comics),Overmind (comics)
Shape (comics),Haywire (comics)
Shape (comics),Nighthawk (Marvel Comics)
Shape (comics),Nth Man
Shape (comics),Blob (comics)
Mordred (comics),Modred the Mystic
Mordred (comics),Doctor Strange
Mordred (comics),Prester John (comics)
Mordred (comics),Shatterstar
Mordred (comics),Mister M (comics)
Mordred (comics),Betsy Braddock
Mordred (comics),Valkyrie (Marvel Comics)
Mordred (comics),Dreadknight
Mordred (comics),Roma (comics)
Mordred (comics),Black Knight (comics)
Mordred (comics),Morgan le Fay (Marvel Comics)
Tempo (comics),Sunfire (comics)
Tempo (comics),Mutant Liberation Front
Tempo (comics),Henry Peter Gyrich
Tempo (comics),Reignfire
Tempo (comics),Cable (comics)
Tempo (comics),Rogue (comics)
Squirrel Girl,Luke Cage
Squirrel Girl,Maelstrom (comics)
Squirrel Girl,Fin Fang Foom
Squirrel Girl,Bi-Beast
Squirrel Girl,Daredevil (Marvel Comics character)
Squirrel Girl,Thing (comics)
Squirrel Girl,Giganto
Squirrel Girl,Doorman (comics)
Squirrel Girl,Hercules (Marvel Comics)
Squirrel Girl,Mister Immortal
Squirrel Girl,Kraven the Hunter
Squirrel Girl,Texas Twister
Squirrel Girl,Big Bertha (comics)
Squirrel Girl,Pixie (X-Men)
Squirrel Girl,Deadpool
Squirrel Girl,Grasshopper (comics)
Squirrel Girl,Puppet Master (Marvel Comics)
Squirrel Girl,Brain Drain (comics)
Squirrel Girl,Mole Man
Squirrel Girl,Captain Ultra
Squirrel Girl,Uatu
Squirrel Girl,Terrax
Squirrel Girl,She-Hulk
Squirrel Girl,Robbie Baldwin
Squirrel Girl,Whiplash (comics)
Squirrel Girl,Flatman (comics)
Squirrel Girl,Galactus
Squirrel Girl,Frog-Man
Squirrel Girl,Jessica Jones
Squirrel Girl,MODOK
Squirrel Girl,Gwenpool
Squirrel Girl,Thor (Marvel Comics)
Squirrel Girl,Doctor Doom
Squirrel Girl,Mandarin (comics)
Squirrel Girl,Kitty Pryde
Squirrel Girl,Dionysus (Marvel Comics)
Squirrel Girl,Mephisto (comics)
Squirrel Girl,Gravity (comics)
Forearm (comics),Danielle Moonstar
Forearm (comics),Henry Peter Gyrich
Forearm (comics),Stryfe
Forearm (comics),Feral (comics)
Forearm (comics),Sunspot (comics)
Forearm (comics),Cable (comics)
Forearm (comics),Locus (comics)
Forearm (comics),Sunfire (comics)
Forearm (comics),Mutant Liberation Front
Forearm (comics),Anaconda (comics)
Forearm (comics),Reignfire
Forearm (comics),Magneto (Marvel Comics)
Forearm (comics),Cyclops (Marvel Comics)
Forearm (comics),Apocalypse (comics)
Forearm (comics),Skids (comics)
Forearm (comics),Tempo (comics)
Forearm (comics),Jean Grey
Forearm (comics),Mister Sinister
Forearm (comics),Garrison Kane
Forearm (comics),Warpath (comics)
Mockingbird (Marvel Comics),Doctor Strange
Mockingbird (Marvel Comics),Dormammu
Mockingbird (Marvel Comics),Luke Cage
Mockingbird (Marvel Comics),Batman
Mockingbird (Marvel Comics),Ultimo (Marvel Comics)
Mockingbird (Marvel Comics),Phantom Rider
Mockingbird (Marvel Comics),Lady Lotus
Mockingbird (Marvel Comics),Grim Reaper (comics)
Mockingbird (Marvel Comics),Quicksilver (comics)
Mockingbird (Marvel Comics),Gemini (Marvel Comics)
Mockingbird (Marvel Comics),Hood (comics)
Mockingbird (Marvel Comics),Jonas Harrow
Mockingbird (Marvel Comics),Phil Coulson
Mockingbird (Marvel Comics),Digger (Marvel Comics)
Mockingbird (Marvel Comics),X-Statix
Mockingbird (Marvel Comics),War Machine
Mockingbird (Marvel Comics),Kang the Conqueror
Mockingbird (Marvel Comics),Monica Rappaccini
Mockingbird (Marvel Comics),Taskmaster (comics)
Mockingbird (Marvel Comics),Punisher
Mockingbird (Marvel Comics),High Evolutionary
Mockingbird (Marvel Comics),Crossfire (comics)
Mockingbird (Marvel Comics),Ultron
Mockingbird (Marvel Comics),Sin (Marvel Comics)
Mockingbird (Marvel Comics),Moon Knight
Mockingbird (Marvel Comics),Mister Fantastic
Mockingbird (Marvel Comics),Daniel Whitehall
Mockingbird (Marvel Comics),Jemma Simmons
Mockingbird (Marvel Comics),Shanna the She-Devil
Mockingbird (Marvel Comics),Spider-Man
Mockingbird (Marvel Comics),Ronin (Marvel Comics)
Mockingbird (Marvel Comics),Catwoman
Mockingbird (Marvel Comics),Deathlok
Mockingbird (Marvel Comics),Man-Thing
Mockingbird (Marvel Comics),Wonder Man
Mockingbird (Marvel Comics),Spider-Woman
Mockingbird (Marvel Comics),Patsy Walker
Mockingbird (Marvel Comics),Tigra
Mockingbird (Marvel Comics),Mephisto (comics)
Mockingbird (Marvel Comics),Iron Patriot
Pride (comics)#The Minoru family,Doctor Strange
Pride (comics)#The Minoru family,Dormammu
Pride (comics)#The Minoru family,Nico Minoru
Pride (comics)#The Minoru family,Cloak and Dagger (comics)
Pride (comics)#The Minoru family,Cockroach Hamilton
Pride (comics)#The Minoru family,Daredevil (Marvel Comics character)
Pride (comics)#The Minoru family,Kingpin (comics)
Pride (comics)#The Minoru family,Molly Hayes
Pride (comics)#The Minoru family,Daken
Pride (comics)#The Minoru family,Invisible Woman
Pride (comics)#The Minoru family,Alex Wilder
Pride (comics)#The Minoru family,Old Lace (comics)
Pride (comics)#The Minoru family,Chase Stein
Pride (comics)#The Minoru family,Cyclops (Marvel Comics)
Pride (comics)#The Minoru family,Carol Danvers
Pride (comics)#The Minoru family,Iron Monger
Pride (comics)#The Minoru family,Tombstone (comics)
Pride (comics)#The Minoru family,Emma Frost
Pride (comics)#The Minoru family,Ancient One
Pride (comics)#The Minoru family,Chamber (comics)
Pride (comics)#The Minoru family,Val Rhymin
Pride (comics)#The Minoru family,Spider-Man
Pride (comics)#The Minoru family,Gibborim (comics)
Pride (comics)#The Minoru family,Gertrude Yorkes
Pride (comics)#The Minoru family,Mr. Fish
Pride (comics)#The Minoru family,Karolina Dean
Jean DeWolff,Doctor Strange
Jean DeWolff,Crime Master
Jean DeWolff,George Stacy
Jean DeWolff,Daredevil (Marvel Comics character)
Jean DeWolff,Kingpin (comics)
Jean DeWolff,Wraith (Brian DeWolff)
Jean DeWolff,Gladiator (Melvin Potter)
Jean DeWolff,Ben Urich
Jean DeWolff,Scourge of the Underworld
Jean DeWolff,Venom (Marvel Comics character)
Jean DeWolff,Bullseye (comics)
Jean DeWolff,Black Cat (Marvel Comics)
Jean DeWolff,Spider-Man
Jean DeWolff,Sin-Eater (comics)
Jean DeWolff,Robbie Baldwin
Jean DeWolff,Harry Osborn#Kindred
Jean DeWolff,Punisher
Darkoth,Thing (comics)
Darkoth,Diablo (Marvel Comics)
Darkoth,Doctor Doom
Darkoth,Thor (Marvel Comics)
Volstagg,Ragnarok (comics)
Volstagg,Beta Ray Bill
Volstagg,Sunspot (comics)
Volstagg,Thunderstrike (Eric Masterson)
Volstagg,Ulik
Volstagg,Frigga (Marvel Comics)
Volstagg,Tabitha Smith
Volstagg,Blastaar
Volstagg,Warlock (New Mutants)
Volstagg,Mister Fantastic
Volstagg,Ymir (Marvel Comics)
Volstagg,Mangog
Volstagg,Hogun
Volstagg,Captain Britain
Volstagg,Fandral
Volstagg,Beyonder
Volstagg,Ben Urich
Volstagg,Thor (Marvel Comics)
Volstagg,Hrimhari
Volstagg,Mephisto (comics)
Solomon Kane (comics),Conan (Marvel Comics)
Breeze Barton,Howard the Duck
Peggy Carter,Sharon Carter
Peggy Carter,Foreigner (comics)
Peggy Carter,Nick Fury Jr.
Peggy Carter,Daniel Whitehall
Peggy Carter,Iron Man 2020
Peggy Carter,Crimson Dynamo
Peggy Carter,Howard Stark
Peggy Carter,Agatha Harkness
Peggy Carter,Bucky Barnes
Peggy Carter,Scourge of the Underworld
Peggy Carter,Doctor Faustus (comics)
Aldrich Killian,Coldblood
Aldrich Killian,Trevor Slattery
Aldrich Killian,MODOK
Aldrich Killian,Maya Hansen
Demogoblin,Jack O'Lantern (Marvel Comics)
Demogoblin,Cloak and Dagger (comics)
Demogoblin,Kaine Parker
Demogoblin,Firestar (Marvel Comics)
Demogoblin,Carrion (comics)
Demogoblin,Jason Macendale
Demogoblin,N'astirh
Demogoblin,Madelyne Pryor
Demogoblin,Moon Knight
Demogoblin,Shriek (comics)
Demogoblin,Hobgoblin (comics)
Demogoblin,Iron Fist (comics)
Demogoblin,Spider-Man
Demogoblin,Venom (Marvel Comics character)
Demogoblin,Phil Urich
Kraglin,Wasp (comics)
Kraglin,Yondu
Kraglin,Ant-Man
Bloodscream,Black Tarantula
Bloodscream,Elsie-Dee
Bloodscream,Archie Corrigan
Bloodscream,Spider-Man
Bloodscream,Roughouse
Sunfire (comics),Doctor Strange
Sunfire (comics),Prism (comics)
Sunfire (comics),Guardsman (comics)
Sunfire (comics),Ultimo (Marvel Comics)
Sunfire (comics),Mystique (comics)
Sunfire (comics),Lady Mastermind
Sunfire (comics),Quicksilver (comics)
Sunfire (comics),Cable (comics)
Sunfire (comics),Mariko Yashida
Sunfire (comics),Ms. Marvel
Sunfire (comics),Green Lantern
Sunfire (comics),Lady Deathstrike
Sunfire (comics),Hope Summers (comics)
Sunfire (comics),Havok (comics)
Sunfire (comics),Lord Dark Wind
Sunfire (comics),Magneto (Marvel Comics)
Sunfire (comics),Holocaust (Marvel Comics)
Sunfire (comics),Maximus (comics)
Sunfire (comics),Malice (comics)
Sunfire (comics),Rogue (comics)
Sunfire (comics),Iceman (Marvel Comics)
Sunfire (comics),Cannonball (comics)
Sunfire (comics),Krakoa
Sunfire (comics),Apocalypse (comics)
Sunfire (comics),Marauders (comics)
Sunfire (comics),Kang the Conqueror
Sunfire (comics),Firestar (Marvel Comics)
Sunfire (comics),Silver Surfer
Sunfire (comics),Emma Frost
Sunfire (comics),Silver Samurai
Sunfire (comics),Living Monolith
Sunfire (comics),Titannus
Sunfire (comics),Sunpyre
Sunfire (comics),Super-Skrull
Sunfire (comics),Spider-Man
Sunfire (comics),Mister Sinister
Sunfire (comics),Pyro (Marvel Comics)
Sunfire (comics),Professor X
Sunfire (comics),Blindspot (comics)
Sunfire (comics),Vertigo (Marvel Comics)
Sunfire (comics),Mandarin (comics)
Sunfire (comics),Gambit (Marvel Comics)
Sunfire (comics),Scalphunter (Marvel Comics)
Sunfire (comics),Red Skull
Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe),Phil Coulson
Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe),Nomad (comics)
Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe),J.A.R.V.I.S.
Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe),Bucky Barnes
Captain America|Captain America (Ultimate Marvel character)|Steve Rogers (Marvel Cinematic Universe),Red Skull
Valkyrie (Marvel Comics),Doctor Strange
Valkyrie (Marvel Comics),Andromeda (Marvel Comics)
Valkyrie (Marvel Comics),Fin Fang Foom
Valkyrie (Marvel Comics),Enchantress (Marvel Comics)
Valkyrie (Marvel Comics),Gargoyle (comics)
Valkyrie (Marvel Comics),Angela (comics)
Valkyrie (Marvel Comics),Malekith the Accursed
Valkyrie (Marvel Comics),Danielle Moonstar
Valkyrie (Marvel Comics),Gorr the God Butcher
Valkyrie (Marvel Comics),Nighthawk (Marvel Comics)
Valkyrie (Marvel Comics),Abomination (character)
Valkyrie (Marvel Comics),Baron Mordo
Valkyrie (Marvel Comics),Magneto (Marvel Comics)
Valkyrie (Marvel Comics),Odin (comics)
Valkyrie (Marvel Comics),Carol Danvers
Valkyrie (Marvel Comics),Silver Surfer
Valkyrie (Marvel Comics),Hela (comics)
Valkyrie (Marvel Comics),Ancient One
Valkyrie (Marvel Comics),Ymir (Marvel Comics)
Valkyrie (Marvel Comics),Misty Knight
Valkyrie (Marvel Comics),Pyro (Marvel Comics)
Valkyrie (Marvel Comics),Morgan le Fay (Marvel Comics)
Valkyrie (Marvel Comics),Beyonder
Valkyrie (Marvel Comics),Pluto (Marvel Comics)
Valkyrie (Marvel Comics),MODOK
Valkyrie (Marvel Comics),Thor (Marvel Comics)
Valkyrie (Marvel Comics),Aragorn (comics)
Valkyrie (Marvel Comics),Patsy Walker
Valkyrie (Marvel Comics),Moondragon
Valkyrie (Marvel Comics),Venom (Marvel Comics character)
Hulk 2099,Morph (comics)
Hulk 2099,Doom 2099
Hulk 2099,Proteus (Marvel Comics)
U-Foes#Vector,Mister Fear
U-Foes#Vector,Electro (Marvel Comics)
U-Foes#Vector,Red Hulk
U-Foes#Vector,Daredevil (Marvel Comics character)
U-Foes#Vector,Henry Peter Gyrich
U-Foes#Vector,Betty Ross
U-Foes#Vector,Colossus (comics)
U-Foes#Vector,Helmut Zemo
U-Foes#Vector,Hood (comics)
U-Foes#Vector,Rick Jones (comics)
U-Foes#Vector,Crossfire (comics)
U-Foes#Vector,Captain Atom
U-Foes#Vector,Mandrill (comics)
U-Foes#Vector,Bereet
U-Foes#Vector,Corruptor (comics)
U-Foes#Vector,Spider-Man
U-Foes#Vector,Darkhawk
U-Foes#Vector,Prodigy (Ritchie Gilmore)
U-Foes#Vector,Portal (comics)
U-Foes#Vector,Volstagg
U-Foes#Vector,Thor (Marvel Comics)
U-Foes#Vector,Controller (Marvel Comics)
U-Foes#Vector,Ben Reilly
Living Tribunal,Doctor Strange
Living Tribunal,Silver Surfer
Living Tribunal,Maelstrom (comics)
Living Tribunal,Batman
Living Tribunal,Quasar (comics)
Living Tribunal,Galactus
Living Tribunal,Rom (comics)
Living Tribunal,Stranger (comics)
Living Tribunal,Uatu
Living Tribunal,Lord Chaos (Marvel Comics)
Living Tribunal,She-Hulk
Living Tribunal,Adam Warlock
John the Skrull,Spitfire (comics)
John the Skrull,Pete Wisdom
John the Skrull,Captain Britain
Moon Knight,Electro (Marvel Comics)
Moon Knight,Doctor Strange
Moon Knight,Luke Cage
Moon Knight,Batman
Moon Knight,Dormammu
Moon Knight,Enchantress (Marvel Comics)
Moon Knight,Daredevil (Marvel Comics character)
Moon Knight,Cobra (Marvel Comics)
Moon Knight,Slug (comics)
Moon Knight,Quicksilver (comics)
Moon Knight,Killer Shrike
Moon Knight,Demogoblin
Moon Knight,Hammerhead (comics)
Moon Knight,Bushman (comics)
Moon Knight,Morning Star (comics)
Moon Knight,Hood (comics)
Moon Knight,Scarecrow (Marvel Comics)
Moon Knight,Spider-Man 2099
Moon Knight,Arsenal (Marvel Comics)
Moon Knight,Star Brand
Moon Knight,Franklin Richards (Fantastic Four)
Moon Knight,Jason Macendale
Moon Knight,Khonshu (Marvel Comics)
Moon Knight,Magneto (Marvel Comics)
Moon Knight,Tinkerer (Marvel Comics)
Moon Knight,Jester (Marvel Comics)
Moon Knight,Rogue (comics)
Moon Knight,Black Cat (Marvel Comics)
Moon Knight,Deadpool
Moon Knight,Morpheus (Marvel Comics)
Moon Knight,Punisher
Moon Knight,Werewolf by Night
Moon Knight,Ultron
Moon Knight,Uatu
Moon Knight,Paladin (comics)
Moon Knight,Skein (comics)
Moon Knight,Mister Fantastic
Moon Knight,Echo (Marvel Comics)
Moon Knight,Old Man Logan
Moon Knight,Living Monolith
Moon Knight,Wasp (comics)
Moon Knight,Sandman (Marvel Comics)
Moon Knight,Spider-Man
Moon Knight,Frenchie (comics)
Moon Knight,Darkhawk
Moon Knight,Ronin (Marvel Comics)
Moon Knight,Night Thrasher (Dwayne Taylor)
Moon Knight,Silver Sable
Moon Knight,Thor (Marvel Comics)
Moon Knight,Doctor Doom
Moon Knight,Bullseye (comics)
Moon Knight,Mysterio
Moon Knight,Tigra
Moon Knight,White Dragon (comics)
Moon Knight,Stained Glass Scarlet
Moon Knight,Ringmaster (comics)
Mesmero,Brent Jackson
Mesmero,Mystique (comics)
Mesmero,Quicksilver (comics)
Mesmero,Grizzly (comics)
Mesmero,Persuasion (comics)
Mesmero,Spyke
Mesmero,Lockheed (comics)
Mesmero,Magneto (Marvel Comics)
Mesmero,Fenris (comics)
Mesmero,Rogue (comics)
Mesmero,Nightcrawler (comics)
Mesmero,Apocalypse (comics)
Mesmero,Sentinel (comics)
Mesmero,Dark Riders (comics)
Mesmero,Shocker (comics)
Mesmero,Spider-Man
Mesmero,Boomerang (comics)
Mesmero,Malcolm Colcord
Mesmero,Kitty Pryde
Mesmero,Batroc the Leaper
Mesmero,Gambit (Marvel Comics)
Doctor Faustus (comics),Sharon Carter
Doctor Faustus (comics),Peggy Carter
Doctor Faustus (comics),Grand Director
Doctor Faustus (comics),Everyman (Marvel Comics)
Doctor Faustus (comics),Daredevil (Marvel Comics character)
Doctor Faustus (comics),MODOK
Doctor Faustus (comics),Mister Fantastic
Doctor Faustus (comics),Arnim Zola
Doctor Faustus (comics),Karla Sofen
Doctor Faustus (comics),Howard Stark
Doctor Faustus (comics),Madame Hydra
Doctor Faustus (comics),Iceman (Marvel Comics)
Doctor Faustus (comics),Kang the Conqueror
Doctor Faustus (comics),Spider-Man
Doctor Faustus (comics),Bucky Barnes
Doctor Faustus (comics),Red Skull
Gertrude Yorkes,Old Lace (comics)
Gertrude Yorkes,Victor Mancha
Gertrude Yorkes,Chase Stein
Gertrude Yorkes,Swarm (comics)
Raiders (comics),Edwin Cord
Ant-Man,Ultron
Ant-Man,Atom (character)
Ant-Man,Yellowjacket (Marvel Comics)
Ant-Man,Jessica Jones
Ant-Man,Doctor Doom
Ant-Man,Goliath (Marvel Comics)
Ant-Man,Egghead (Marvel Comics)
Ant-Man,Giant-Man
Ant-Man,Whirlwind (comics)
Aleksander Lukin,Sharon Carter
Aleksander Lukin,Arnim Zola
Aleksander Lukin,Bucky Barnes
Aleksander Lukin,Red Skull
Aleksander Lukin,Selene (comics)
Corsair (comics),Ch'od
Corsair (comics),Robbie Robertson (comics)
Corsair (comics),D'Ken
Corsair (comics),Cobra (Marvel Comics)
Corsair (comics),Northstar (Marvel Comics)
Corsair (comics),Aurora (comics)
Corsair (comics),Havok (comics)
Corsair (comics),Cerise (comics)
Corsair (comics),Fenris (comics)
Corsair (comics),Cyclops (Marvel Comics)
Corsair (comics),Nightcrawler (comics)
Corsair (comics),Apocalypse (comics)
Corsair (comics),Raza Longknife
Corsair (comics),Deathbird
Corsair (comics),Collector (comics)
Corsair (comics),Darwin (comics)
Corsair (comics),Jean Grey
Corsair (comics),Vulcan (Marvel Comics)
Corsair (comics),Misty Knight
Corsair (comics),Mister Hyde (comics)
Corsair (comics),Galactus
Corsair (comics),Hepzibah (comics)
Corsair (comics),Colleen Wing
Corsair (comics),Professor X
Corsair (comics),Dark Beast
Corsair (comics),Warpath (comics)
Dweller-in-Darkness,Doctor Strange
Dweller-in-Darkness,Mister Fear
Dweller-in-Darkness,Baron Mordo
Dweller-in-Darkness,Dakimh the Enchanter
Dweller-in-Darkness,Thor (Marvel Comics)
Dweller-in-Darkness,Hulk 2099
Dweller-in-Darkness,Clea
Dweller-in-Darkness,Straw Man (comics)
Dweller-in-Darkness,Hercules (Marvel Comics)
Dweller-in-Darkness,Nightmare (Marvel Comics)
Dweller-in-Darkness,Spider-Man 2099
Dweller-in-Darkness,D'Spayre
Enclave (comics),Doctor Strange
Enclave (comics),Kismet (Marvel Comics)
Enclave (comics),Bi-Beast
Enclave (comics),Alicia Masters
Enclave (comics),Thing (comics)
Enclave (comics),Dracula (Marvel Comics)
Enclave (comics),Trapster
Enclave (comics),Korvac
Enclave (comics),Abner Jenkins
Enclave (comics),Tinkerer (Marvel Comics)
Enclave (comics),Maximus (comics)
Enclave (comics),Silver Surfer
Enclave (comics),Mister Fantastic
Enclave (comics),Spider-Man
Enclave (comics),Medusa (comics)
Enclave (comics),Galactus
Enclave (comics),Doctor Doom
Enclave (comics),Moondragon
Enclave (comics),Adam Warlock
Cobra (Marvel Comics),Armadillo (comics)
Cobra (Marvel Comics),Ox (comics)
Cobra (Marvel Comics),Luke Cage
Cobra (Marvel Comics),Eric O'Grady#Black Ant
Cobra (Marvel Comics),Daredevil (Marvel Comics character)
Cobra (Marvel Comics),Helmut Zemo
Cobra (Marvel Comics),Sidewinder (comics)
Cobra (Marvel Comics),Hood (comics)
Cobra (Marvel Comics),Hope Summers (comics)
Cobra (Marvel Comics),Kraven the Hunter
Cobra (Marvel Comics),Swordsman (comics)
Cobra (Marvel Comics),Stegron
Cobra (Marvel Comics),Human Torch (android)
Cobra (Marvel Comics),Viper (Marvel Comics)
Cobra (Marvel Comics),Firebrand (Marvel Comics)
Cobra (Marvel Comics),Taskmaster (comics)
Cobra (Marvel Comics),Zarrko
Cobra (Marvel Comics),Sin (Marvel Comics)
Cobra (Marvel Comics),Moon Knight
Cobra (Marvel Comics),Gladiator (Melvin Potter)
Cobra (Marvel Comics),Toro (comics)
Cobra (Marvel Comics),Spider-Man
Cobra (Marvel Comics),Purple Man
Cobra (Marvel Comics),Toxin (comics)
Cobra (Marvel Comics),Mister Hyde (comics)
Cobra (Marvel Comics),Daisy Johnson
Cobra (Marvel Comics),Tarantula (Marvel Comics)
Cobra (Marvel Comics),Thor (Marvel Comics)
Cobra (Marvel Comics),Scourge of the Underworld
Cobra (Marvel Comics),Unicorn (Marvel Comics)
Cobra (Marvel Comics),Arcade (Marvel Comics)
Cobra (Marvel Comics),Bucky Barnes
Cobra (Marvel Comics),Mauler (comics)
Cobra (Marvel Comics),Red Skull
Centurius,High Evolutionary
Centurius,Doctor Strange
Centurius,Ulysses Bloodstone
Centurius,Luke Cage
Centurius,Boomerang (comics)
Centurius,Mister Hyde (comics)
Centurius,Jimmy Woo
Centurius,Enclave (comics)
Centurius,Troll (Marvel Comics)
Centurius,Arnim Zola
Centurius,Shocker (comics)
Centurius,Hood (comics)
Spyke,Storm (Marvel Comics)
Spyke,Professor X
Spyke,Quicksilver (comics)
Spyke,Jean Grey
Spyke,Cyclops (Marvel Comics)
Spyke,Apocalypse (comics)
Spyke,Marrow (comics)
Doctor Druid,Doctor Strange
Doctor Druid,Killraven
Doctor Druid,Nebula (comics)
Doctor Druid,Man-Thing
Doctor Druid,Thundra
Doctor Druid,Ancient One
Doctor Druid,Ben Urich
Doctor Druid,Daimon Hellstrom
Doctor Druid,War Machine
Doctor Druid,Dazzler (Marvel Comics)
Doctor Druid,Doctor Doom
Doctor Druid,Amatsu-Mikaboshi (comics)
Doctor Druid,Dracula (Marvel Comics)
Doctor Druid,Wong (comics)
Doctor Druid,Nighthawk (Marvel Comics)
Doctor Druid,Blackout (Marcus Daniels)
Cheshire Cat (comics),Power Man (Victor Alvarez)
Cheshire Cat (comics),Nightshade (Marvel Comics)
Cheshire Cat (comics),Luke Cage
Cheshire Cat (comics),Mr. Fish
Cheshire Cat (comics),Big Ben Donovan
Cheshire Cat (comics),Chemistro
Cheshire Cat (comics),Iron Fist (comics)
Cheshire Cat (comics),Comanche (comics)
Pestilence (comics),Snowbird (comics)
Pestilence (comics),Shaman (comics)
Pestilence (comics),Sasquatch (comics)
Cerise (comics),Jamie Braddock
Cerise (comics),Gamora
Cerise (comics),Kitty Pryde
Cerise (comics),Jean Grey
Cerise (comics),Nightcrawler (comics)
Cerise (comics),Sat-Yr-9
Cerise (comics),Sentinel (comics)
Gabriel Stacy and Sarah Stacy,Doctor Strange
Gabriel Stacy and Sarah Stacy,Spider-Man
Gabriel Stacy and Sarah Stacy,Howard the Duck
Gabriel Stacy and Sarah Stacy,Blade (character)
Gabriel Stacy and Sarah Stacy,Mysterio
Gabriel Stacy and Sarah Stacy,Menace (Marvel Comics)
Gabriel Stacy and Sarah Stacy,Mephisto (comics)
Gabriel Stacy and Sarah Stacy,Molecule Man
Gabriel Stacy and Sarah Stacy,Mendel Stromm
Stardust (Marvel Comics),Silver Surfer
Stardust (Marvel Comics),Red Shift (comics)
Stardust (Marvel Comics),Beta Ray Bill
Stardust (Marvel Comics),Thing (comics)
Stardust (Marvel Comics),Wasp (comics)
Stardust (Marvel Comics),Annihilus
Hiro-Kala,Rick Jones (comics)
Hiro-Kala,Korg (comics)
Hiro-Kala,Skaar (character)
Hiro-Kala,Betty Ross
Hiro-Kala,She-Hulk
Zabu,Devil Dinosaur
Zabu,Kraven the Hunter
Zabu,Spider-Man
Zabu,J. Jonah Jameson
Zabu,Mockingbird (Marvel Comics)
Zabu,Jessica Jones
Zabu,Thunderball (comics)
Zabu,Doctor Doom
Zabu,Shanna the She-Devil
Zabu,Batroc the Leaper
Zabu,Taskmaster (comics)
Zabu,Deadpool
Zabu,Sauron (comics)
Zabu,Sabretooth (comics)
Starfox (comics),Gamora
Starfox (comics),Maelstrom (comics)
Starfox (comics),Nebula (comics)
Starfox (comics),Mentor (A'lars)
Starfox (comics),Uni-Mind
Starfox (comics),Genis-Vell
Starfox (comics),Wizard (Marvel Comics)
Starfox (comics),Lockjaw (comics)
Starfox (comics),Kang the Conqueror
Starfox (comics),Living Tribunal
Starfox (comics),ISAAC (comics)
Starfox (comics),Stranger (comics)
Starfox (comics),Ultron
Starfox (comics),Hela (comics)
Starfox (comics),Wasp (comics)
Starfox (comics),Spider-Man
Starfox (comics),She-Hulk
Starfox (comics),John Jameson (comics)
Starfox (comics),Annihilus
Starfox (comics),Morgan le Fay (Marvel Comics)
Starfox (comics),Pip the Troll
Starfox (comics),Firelord (comics)
Starfox (comics),Moondragon
Starfox (comics),Tigra
Damage Control (comics),Luke Cage
Damage Control (comics),Kingpin (comics)
Damage Control (comics),Thing (comics)
Damage Control (comics),Hercules (Marvel Comics)
Damage Control (comics),Constrictor (comics)
Damage Control (comics),Kid Kaiju
Damage Control (comics),Punisher
